City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Kavieng,PG,85.62,few clouds,-2.57,150.8,Nusa Island Retreat
10,Port Blair,IN,83.57,light rain,11.67,92.75,Welcomhotel Bay Island Port Blair
13,Omboue,GA,78.06,overcast clouds,-1.57,9.26,Hotel Olako
15,Gizo,SB,81.19,overcast clouds,-8.1,156.84,Imagination Island
16,Busselton,AU,79.0,clear sky,-33.65,115.33,Observatory Guest House
22,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
25,Puerto Madero,MX,75.07,clear sky,14.72,-92.42,Hotel La Central
28,Carnarvon,AU,84.2,clear sky,-24.87,113.63,Hospitality Carnarvon
29,New Norfolk,AU,75.2,light rain,-42.78,147.06,The Shingles Riverside Cottages
32,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
41,Sawakin,SD,81.75,scattered clouds,19.11,37.33,فندق الدويم
44,Mahebourg,MU,80.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
46,Rikitea,PF,77.4,light rain,-23.12,-134.97,Pension Maro'i
47,Victoria,HK,75.0,broken clouds,22.29,114.16,Mini Hotel Central
56,Faanui,PF,80.15,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Chaiya,TH,87.8,few clouds,9.39,99.2,JP Place
59,Atuona,PF,79.05,clear sky,-9.8,-139.03,Villa Enata
60,Hobart,AU,75.2,heavy intensity rain,-42.88,147.33,St Ives Hobart Accommodation Tasmania
61,Cotonou,BJ,78.39,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
63,Bandarbeyla,SO,76.8,broken clouds,9.49,50.81,JABIR HOTEL
66,Salinopolis,BR,80.42,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
68,Sinnamary,GF,77.09,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
69,Kruisfontein,ZA,78.01,clear sky,-34.0,24.73,Oyster Bay House Rental
72,Sawtell,AU,77.0,overcast clouds,-30.38,153.1,Boambee Waters Caravan Park
83,Porto Novo,BJ,76.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
96,Poum,NC,79.59,light rain,-20.23,164.02,Gîte kajeon
97,Bac Lieu,VN,82.51,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
100,East London,ZA,75.2,few clouds,-33.02,27.91,Tu Casa
102,Sola,VU,78.8,broken clouds,-13.88,167.55,Ulkel Guest House
108,Vanimo,PG,84.0,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
110,Nishihara,JP,75.2,broken clouds,26.18,127.76,Minshuku Agaihama
114,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
120,Jibuti,DJ,80.6,clear sky,11.5,42.5,Orchid Main Camp Goubet
122,Bogo,PH,81.84,light rain,11.05,124.01,Acrige Apartelle 2 pax Twin @ heart of Bogo City
126,Axim,GH,79.07,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
129,Geraldton,AU,86.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
132,Hilo,US,75.2,light rain,19.73,-155.09,Hilo Hawaiian Hotel
134,Saint-Philippe,RE,87.01,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
145,Soyo,AO,78.8,broken clouds,-6.13,12.37,Hotel Mpampa
148,Kabinda,CD,78.22,broken clouds,-6.13,24.48,Village Mianda Mutole
149,Georgetown,MY,89.6,few clouds,5.41,100.34,Cititel Penang
153,Teknaf,BD,78.93,clear sky,20.86,92.31,Magnum Engineering & Construction
154,Sumenep,ID,85.41,broken clouds,-7.02,113.87,OYO 3271 Homestay Pandian
157,Gandai,IN,77.83,scattered clouds,21.67,81.1,Agrasen Bhawan Gandai
169,Luwero,UG,84.43,broken clouds,0.85,32.47,Nimrod Hotel
173,Butaritari,KI,81.7,scattered clouds,3.07,172.79,Isles Sunset Lodge
182,Richards Bay,ZA,88.21,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
187,Cairns,AU,87.8,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
193,Quelimane,MZ,86.0,broken clouds,-17.88,36.89,Hotel Flamingo
194,Vao,NC,77.86,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
195,Maun,BW,77.0,light rain,-19.98,23.42,Enviro Villa
202,Howard Springs,AU,90.0,shower rain,-12.5,131.05,buffalo beach hostel
204,Ulladulla,AU,84.99,scattered clouds,-35.35,150.47,Sandpiper Motel
205,Noumea,NC,75.2,moderate rain,-22.28,166.46,Hôtel Le Lagon
213,Port Moresby,PG,87.8,moderate rain,-9.44,147.18,Lamana Hotel
214,Santarem,BR,77.0,scattered clouds,-2.44,-54.71,Hotel Imperador
221,Zabid,YE,80.58,clear sky,14.2,43.32,دار الضيافة
222,Bengkulu,ID,86.54,clear sky,-3.8,102.27,Grage Hotel Bengkulu
223,Tezu,IN,75.92,clear sky,27.92,96.17,Circuit House
228,Eyl,SO,80.01,overcast clouds,7.98,49.82,Amiin Hotel
233,Saint-Joseph,RE,87.01,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
237,Charters Towers,AU,83.97,overcast clouds,-20.1,146.27,Cattleman's Rest Motor Inn
240,Daru,PG,85.3,light rain,-9.08,143.21,Daru Lodge
248,Port Alfred,ZA,75.0,scattered clouds,-33.59,26.89,The Halyards Hotel
250,Sorong,ID,83.32,moderate rain,-0.88,131.25,The Waigo Hotel
251,Robertsport,LR,79.29,light rain,6.75,-11.37,Kwepunha Retreat
252,Basco,PH,78.01,light rain,20.45,121.97,Nathaniel's Lodge
259,Diu,IN,82.08,broken clouds,20.71,70.98,Hotel Relax Inn
260,Sao Jose Da Coroa Grande,BR,76.42,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
262,Haapiti,PF,77.0,light rain,-17.57,-149.87,Linareva Moorea Beach Resort
263,Cockburn Town,TC,76.8,moderate rain,21.46,-71.14,Osprey Beach Hotel
264,Kandrian,PG,85.35,light rain,-6.22,149.55,Kandrian Station
268,Manokwari,ID,82.31,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
269,The Valley,AI,78.01,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
271,Kirakira,SB,82.18,heavy intensity rain,-10.45,161.92,SanBiz Lodge
275,Maragogi,BR,75.81,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
278,Bundaberg,AU,82.4,scattered clouds,-24.85,152.35,Takalvan Motel
280,Tarakan,ID,81.48,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
281,Taitung,TW,75.2,broken clouds,22.76,121.14,Taitung Bali Suites Hotel
287,Maxixe,MZ,84.2,scattered clouds,-23.86,35.35,Oceano
289,Manavalakurichi,IN,87.8,scattered clouds,8.13,77.3,Udaya Boys Hostel
290,Gambiran,ID,85.82,overcast clouds,-6.8,111.5,GUBUK KU
292,Souillac,MU,80.6,shower rain,-20.52,57.52,Bils' Villa
296,Itamaraca,BR,78.8,broken clouds,-7.75,-34.83,Special K's Bed & Breakfast
306,Hithadhoo,MV,83.05,clear sky,-0.6,73.08,Scoop Guest House
308,Ponot,PH,82.06,overcast clouds,8.45,123.02,Jose Dalman Municipal Building
310,Savannah Bight,HN,76.21,broken clouds,16.45,-85.85,Villa on Dunbar Rock
313,Lorengau,PG,85.3,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
314,Harper,LR,78.21,few clouds,4.38,-7.72,Screensaver
322,Olinda,BR,78.8,broken clouds,-8.01,-34.86,Hotel 5 Sóis
330,Bahia Blanca,AR,77.02,clear sky,-38.72,-62.27,Hotel Argos
346,Trairi,BR,77.85,broken clouds,-3.28,-39.27,janelas do mar
348,Cayenne,GF,75.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
351,Cartagena,CO,78.8,few clouds,10.4,-75.51,Costa Del Sol
360,Mahanoro,MG,78.49,heavy intensity rain,-19.9,48.8,BUNGALOW MAHAMANINA
361,Kinshasa,CD,77.0,light rain,-4.32,15.32,Kabinda Center
362,Dingle,PH,83.46,light rain,11.0,122.67,SEGAYA PROPERTY
365,Arvi,IN,81.45,clear sky,20.98,78.23,Geet shirbhate
371,Mersing,MY,86.0,scattered clouds,2.43,103.84,Timotel Hotel
374,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
382,Balfour,ZA,84.0,clear sky,-26.66,28.59,Bedz4Headz Guesthouse
386,Kasane,BW,77.0,clear sky,-17.82,25.15,The Old House
394,Payakumbuh,ID,85.19,overcast clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
396,Mahibadhoo,MV,81.59,clear sky,3.78,72.97,Omadhoo Inn
412,Samarai,PG,85.66,few clouds,-10.62,150.67,Nuli Sapi
414,Kulai,MY,89.6,scattered clouds,1.66,103.6,Hotel U and Me
416,Muncar,ID,82.85,light rain,-8.43,114.33,Zaky Homestay
420,Guhagar,IN,89.78,overcast clouds,17.48,73.19,Hotel Seawinds
423,Santa Rosa,PH,77.0,heavy intensity rain,14.31,121.11,Erlyn’s Sta Rosa City Home
425,Malakal,SS,84.02,clear sky,9.53,31.66,Nile Palace Hotel
432,Mayumba,GA,78.12,scattered clouds,-3.43,10.66,LIKWALE LODGE
433,Healesville,AU,80.01,light rain,-37.65,145.52,Rivendell on Cornelius
436,Inhambane,MZ,84.2,scattered clouds,-23.86,35.38,Oceano
438,Alyangula,AU,84.2,broken clouds,-13.85,136.42,Groote Eylandt Lodge
441,Isangel,VU,81.23,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
443,Bambous Virieux,MU,80.6,shower rain,-20.34,57.76,Casa Tia Villa
445,Tautira,PF,77.0,light rain,-17.73,-149.15,Pension Oaoa
446,Loa Janan,ID,89.51,light rain,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
447,Collie,AU,77.0,clear sky,-33.37,116.15,Collie Ridge
452,Vavuniya,LK,78.85,moderate rain,8.75,80.5,Thampa Hotel
457,Siocon,PH,83.17,overcast clouds,7.71,122.14,MSWDO
461,Mackay,AU,84.2,clear sky,-21.15,149.2,International Lodge Motel
470,Buala,SB,79.56,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
475,Nelson Bay,AU,89.6,broken clouds,-32.72,152.15,Mantra Nelson Bay
482,Marawi,PH,81.0,overcast clouds,8.0,124.29,Derogongan Residence
484,Ambulu,ID,83.3,moderate rain,-8.35,113.61,Hotel Ambulu Jember
488,Mahajanga,MG,77.0,moderate rain,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
489,Saint-Pierre,RE,87.01,clear sky,-21.34,55.48,Lindsey Hôtel
493,Quatre Cocos,MU,80.6,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
495,Kavaratti,IN,87.8,haze,10.57,72.64,Hotels in Lakshadweep Islands
496,Martapura,ID,89.6,few clouds,-3.42,114.85,Montana Hotel Syariah
500,Kulhudhuffushi,MV,81.73,scattered clouds,6.62,73.07,Haajy Guest House 1
502,Tabou,CI,77.92,few clouds,4.42,-7.35,hotêl doufoulougou
508,Morondava,MG,88.16,overcast clouds,-20.28,44.28,La Case Bambou
517,Labuhan,ID,86.38,overcast clouds,-6.88,112.21,bador sepret
526,Nisia Floresta,BR,75.2,broken clouds,-6.09,-35.21,Rancho Crepusculo
528,Manaus,BR,75.2,light rain,-3.1,-60.02,Hotel do Largo
533,Luganville,VU,82.4,moderate rain,-15.53,167.17,The Espiritu Hotel
534,Talavera,PH,75.2,heavy intensity rain,15.62,120.93,R&G's Resort
545,Cururupu,BR,77.32,broken clouds,-1.83,-44.87,Pousada Través'cia
549,Carutapera,BR,79.11,broken clouds,-1.2,-46.02,Lidera
556,Mareeba,AU,87.01,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
559,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
561,Mae Sai,TH,87.01,few clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
570,Sehithwa,BW,82.24,overcast clouds,-20.47,22.72,MONLEK GUEST HOUSE
572,Meulaboh,ID,84.18,broken clouds,4.14,96.13,Kost Pria
574,La Asuncion,VE,75.81,overcast clouds,11.03,-63.86,Colinas de Matasiete
577,Port Keats,AU,86.76,heavy intensity rain,-14.25,129.55,TDC Village (Hundred Man Camp)
585,Grand Gaube,MU,75.99,moderate rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
591,Chandia,IN,77.63,clear sky,23.65,80.7,Ajay Jalpaan & Sweets Shop
601,Magole,TZ,77.0,light rain,-6.37,37.37,Juma lubelwa
602,Namatanai,PG,84.92,scattered clouds,-3.67,152.43,Namatanai Hotel
603,Tiarei,PF,77.0,light rain,-17.53,-149.33,Le Rocher de Tahiti
605,Gorontalo,ID,84.97,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
606,Si Racha,TH,88.0,scattered clouds,13.17,100.93,Cape Racha Hotel & Serviced Apartments
619,Kismayo,SO,83.88,few clouds,-0.36,42.55,Agan-Hotel
623,Luangwa,ZM,78.3,light rain,-15.62,30.42,Gerasimos Safari Lodge
627,San Andres,CO,78.8,moderate rain,12.58,-81.7,Hotel Arena Blanca
630,Bintulu,MY,86.0,few clouds,3.17,113.03,900 Boutique INN
631,Kattivakkam,IN,86.0,haze,13.22,80.32,St. Joseph Thirumana mandapam
636,Xuddur,SO,80.8,scattered clouds,4.12,43.89,Banjanay Hotel
639,Alofi,NU,80.6,overcast clouds,-19.06,-169.92,Taloa Heights
640,Nkayi,CG,76.78,overcast clouds,-4.18,13.29,Declaise de M'BAMA
641,Banda Aceh,ID,83.66,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
646,Sibolga,ID,84.87,heavy intensity rain,1.74,98.78,Hotel Syariah CN Darussalam
652,Lahat,ID,89.55,light rain,-3.8,103.53,Bukit Serelo Hotel
662,Kampot,KH,87.8,scattered clouds,10.62,104.18,Champa Lodge
666,Hue,VN,75.2,broken clouds,16.47,107.6,Saigon Morin Hotel
667,Gemena,CD,85.17,few clouds,3.25,19.77,Hôtel Goshen
671,Bentiu,SS,85.26,clear sky,9.23,29.83,Mandela hôtel
672,Cuamba,MZ,81.75,broken clouds,-14.8,36.54,Hotel Vision
689,Hobyo,SO,81.12,few clouds,5.35,48.53,Halane Hotel and Restaurent
693,Maroantsetra,MG,87.44,overcast clouds,-15.43,49.73,La Pagode
697,Qui Nhon,VN,77.45,clear sky,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
